t,u,v,i,j
0.61809,0.306824,-0.00357176,182,100
0.621181,0.305828,-0.00355268,182,100
0.624271,0.30487,-0.003534,182,100
0.627362,0.303949,-0.00351572,182,100
0.630452,0.303066,-0.00349783,182,100
0.633543,0.30222,-0.00348035,182,100
0.636633,0.301408,-0.00346328,182,100
0.639724,0.300627,-0.0034466,182,100
0.642814,0.299876,-0.00343029,182,100
0.645905,0.299152,-0.00341438,182,100
0.648995,0.298456,-0.00339886,182,100
0.652085,0.297786,-0.00338373,182,100
0.655176,0.297143,-0.00336897,182,100
0.658266,0.296527,-0.00335458,182,100
0.661357,0.295937,-0.00334056,182,100
0.664447,0.295372,-0.00332692,182,100
0.667538,0.29483,-0.00331365,182,100
0.670628,0.294309,-0.00330073,182,100
0.673719,0.293807,-0.00328815,182,100
0.676809,0.293323,-0.00327593,182,100
0.679899,0.292858,-0.00326405,182,100
0.68299,0.292411,-0.00325251,182,100
0.68608,0.291982,-0.00324129,182,100
0.689171,0.29157,-0.0032304,182,100
0.692261,0.291176,-0.00321983,182,100
0.695352,0.290797,-0.00320957,182,100
0.698442,0.290433,-0.00319962,182,100
0.701533,0.290081,-0.00318997,182,100
0.704623,0.289742,-0.00318061,182,100
0.707714,0.289414,-0.00317154,182,100
0.710804,0.289097,-0.00316275,182,100
0.713894,0.288791,-0.00315423,182,100
0.716985,0.288497,-0.00314598,182,100
0.720075,0.288214,-0.00313799,182,100
0.723166,0.287941,-0.00313026,182,100
0.726256,0.287677,-0.00312278,182,100
0.729347,0.287421,-0.00311554,182,100
0.732437,0.287173,-0.00310853,182,100
0.735528,0.286931,-0.00310175,182,100
0.738618,0.286695,-0.00309519,182,100
0.741709,0.286466,-0.00308885,182,100
0.744799,0.286244,-0.00308272,182,100
0.747889,0.286027,-0.00307679,182,100
0.75098,0.285817,-0.00307106,182,100
0.75407,0.285613,-0.00306552,182,100
0.757161,0.285413,-0.00306017,182,100
0.760251,0.285217,-0.003055,182,100
0.763342,0.285025,-0.00305,182,100
0.766432,0.284836,-0.00304517,182,100
0.769523,0.28465,-0.0030405,182,100
0.772613,0.284467,-0.00303599,182,100
0.775704,0.284287,-0.00303163,182,100
0.778794,0.28411,-0.00302741,182,100
0.781884,0.283937,-0.00302334,182,100
0.784975,0.283766,-0.00301941,182,100
0.788065,0.283597,-0.00301561,182,100
0.791156,0.28343,-0.00301194,182,100
0.794246,0.283264,-0.00300839,182,100
0.797337,0.283099,-0.00300495,182,100
0.800427,0.282935,-0.00300163,182,100
0.803518,0.282772,-0.00299842,182,100
0.806608,0.28261,-0.00299531,182,100
0.809698,0.282449,-0.00299231,182,100
0.812789,0.28229,-0.0029894,182,100
0.815879,0.282131,-0.00298659,182,100
0.81897,0.281974,-0.00298387,182,100
0.82206,0.281816,-0.00298124,182,100
0.825151,0.281659,-0.00297869,182,100
0.828241,0.281502,-0.00297621,182,100
0.831332,0.281344,-0.00297382,182,100
0.834422,0.281187,-0.0029715,182,100
0.837513,0.281029,-0.00296924,182,100
0.840603,0.280872,-0.00296706,182,100
0.843693,0.280715,-0.00296494,182,100
0.846784,0.280558,-0.00296288,182,100
0.849874,0.280401,-0.00296089,182,100
0.852965,0.280244,-0.00295895,182,100
0.856055,0.280087,-0.00295707,182,100
0.859146,0.279929,-0.00295524,182,100
0.862236,0.27977,-0.00295345,182,100
0.865327,0.279612,-0.00295172,182,100
0.868417,0.279452,-0.00295004,182,100
0.871508,0.279293,-0.00294839,182,100
0.874598,0.279133,-0.00294679,182,100
0.877688,0.278973,-0.00294524,182,100
0.880779,0.278813,-0.00294372,182,100
0.883869,0.278653,-0.00294223,182,100
0.88696,0.278493,-0.00294079,182,100
0.89005,0.278332,-0.00293938,182,100
0.893141,0.27817,-0.002938,182,100
0.896231,0.278008,-0.00293665,182,100
0.899322,0.277846,-0.00293533,182,100
0.902412,0.277683,-0.00293404,182,100
0.905503,0.27752,-0.00293278,182,100
0.908593,0.277357,-0.00293154,182,100
0.911683,0.277194,-0.00293033,182,100
0.914774,0.27703,-0.00292914,182,100
0.917864,0.276867,-0.00292798,182,100
0.920955,0.276703,-0.00292684,182,100
